"Practice Name","Phone","Address","Owner Name","Language","Status","Last Contact","Notes","Assigned To","Owner Title","Vertical","Lead Score","Company LinkedIn","Owner LinkedIn","Owner Email Status","Founded Year"
"PATERSON DENTAL CLINIC","(973) 684-5854","New Jersey","","English","new","","Score 4/10 | apollo:66f0a45d46614800012345ba","","","dental","4","http://www.linkedin.com/company/paterson-dental-clinic","","",""
"""JERSEY CITY PEDIATRIC DENTISTRY, LLC""","(201) 992-4764","New Jersey","","English","new","","Score 4/10 | apollo:672eeb9dcfd91b000107d9d9","","","dental","4","http://www.linkedin.com/company/jersey-city-pediatric-dentistry-llc","","",""
"Lee Family Dentist","(201) 565-0554","New Jersey","","English","new","","Score 4/10 | apollo:673587f01f02490001b62f9f","","","dental","4","http://www.linkedin.com/company/lee-family-dentist","","",""
"Ararat Dental","(201) 533-0005","New Jersey","","English","new","","Score 4/10 | apollo:6730ff1dcb4dd60001ad2020","","","dental","4","http://www.linkedin.com/company/ararat-dental","","",""
"""All Care General Dentistry, PC""","(201) 706-3412","New Jersey","","English","new","","Score 4/10 | apollo:674ca9dc47ad1e0001b9aa34","","","dental","4","http://www.linkedin.com/company/all-care-general-dentistry-pc","","",""
"Bastidas Family Dentistry","(973) 742-2610","New Jersey","","English","new","","Score 4/10 | apollo:5500bd6c736964176dff2a00","","","dental","4","http://www.linkedin.com/company/bastidas-family-dentistry","","",""
"CHESTNUT DENTAL GROUP LLC","(973) 732-3484","New Jersey","","English","new","","Score 4/10 | apollo:6735a4bcdd2a7c00017c9c19","","","dental","4","http://www.linkedin.com/company/chestnut-dental-group-llc","","",""
"JC Dental & Implant Studio","(201) 654-0490","New Jersey","Eugenie Lee","English","new","","Score 6/10 | apollo:666e30937813da0001f193f3","","Owner","dental","6","http://www.linkedin.com/company/jc-dental-&-implant-studio","","verified",""
"SINGH AND SMILE PEDIATRIC DENTISTRY","(908) 312-7300","New Jersey","","English","new","","Score 4/10 | apollo:66f8adaf5e4cdc0001d2e15d","","","dental","4","http://www.linkedin.com/company/singh-and-smile-pediatric-dentistry","","",""
"Suzana Dental Office","","New Jersey","","English","new","","Score 4/10 | apollo:55f75caff3e5bb16c1001794","","","dental","4","http://www.linkedin.com/company/suzana-dental-office","","",""
"LQ Dental","(973) 957-9777","New Jersey","","English","new","","Score 4/10 | apollo:674c195790dfc4000196c2b5","","","dental","4","http://www.linkedin.com/company/lq-dental","","",""
"MONTGOMERY GREENE DENTAL","(201) 204-0737","New Jersey","","English","new","","Score 4/10 | apollo:6729b0bf84eb12000196becd","","","dental","4","http://www.linkedin.com/company/montgomery-greene-dental","","",""
"""FAMILY DENTISTRY 2000, LLC""","","New Jersey","","English","new","","Score 4/10 | apollo:6720acfa7ef6f30001c5d8cb","","","dental","4","http://www.linkedin.com/company/family-dentistry-2000-llc","","",""
"Frontline Dental Care","(845) 623-4435","New Jersey","","English","new","","Score 4/10 | apollo:5d0a9808f6512532a53e22ed","","","dental","4","http://www.linkedin.com/company/frontline-dental-care","","",""
"Grove Street Dental","(201) 200-0222","New Jersey","","English","new","","Score 4/10 | apollo:6725ac75cca4980001f135f5","","","dental","4","http://www.linkedin.com/company/grove-street-dental","","",""
"DOYLE DENTAL","","New Jersey","","English","new","","Score 4/10 | apollo:671502d9a901b80001228ea9","","","dental","4","http://www.linkedin.com/company/doyle-dental","","",""
"Jersey City Dental Spa - Dental","(201) 451-1600","New Jersey","","English","new","","Score 4/10 | apollo:672df920968aa100017a551f","","","dental","4","http://www.linkedin.com/company/jersey-city-dental-spa---dental","","",""
"Hudson Dental","","New Jersey","Haim Ha**v","English","new","","Score 6/10 | apollo:5591fcff7369641881eb1100","","Founder & CEO","dental","6","http://www.linkedin.com/company/hudson-dental","","verified",""
"Dental Associates of Jersey City LLC","(201) 433-0773","New Jersey","","English","new","","Score 4/10 | apollo:6852330b831aac0001261fa6","","","dental","4","http://www.linkedin.com/company/dental-associates-of-jersey-city-llc","","",""
"Tcb Dental Care","(201) 222-9285","New Jersey","","English","new","","Score 4/10 | apollo:6714400e37264e0001102774","","","dental","4","http://www.linkedin.com/company/tcb-dental-care","","",""
"SMILE CENTRAL DENTAL P.C.","(973) 742-4200","New Jersey","","English","new","","Score 4/10 | apollo:66ef2bfc7317d10001350d5b","","","dental","4","http://www.linkedin.com/company/smile-central-dental-p.c.","","",""
"Roar Dental","(201) 451-7627","New Jersey","Kevin Ho**r","English","new","","Score 6/10 | apollo:66f66bf2ce925a00013e4d4c","","Owner","dental","6","http://www.linkedin.com/company/roar-dental","","unverified",""
"HR Dental Care","(201) 434-1200","New Jersey","","English","new","","Score 4/10 | apollo:67287a88ed6bc2000193f84d","","","dental","4","http://www.linkedin.com/company/hr-dental-care","","",""
"Journal Square Dental","(201) 656-2221","New Jersey","","English","new","","Score 4/10 | apollo:674b5412e973b20001e0998e","","","dental","4","http://www.linkedin.com/company/journal-square-dental","","",""
"Chilton Dental Group","(908) 352-4438","New Jersey","","English","new","","Score 4/10 | apollo:55ed14a5f3e5bb3df90016d1","","","dental","4","http://www.linkedin.com/company/chilton-dental-group","","",""
"""FAMILY DENTAL PRACTICE OF NEW JERSEY, LLC""","(908) 355-7800","New Jersey","","English","new","","Score 4/10 | apollo:672b159e00eba50001c7fb48","","","dental","4","http://www.linkedin.com/company/family-dental-practice-of-new-jersey-llc","","",""
"""MAGNA DENTAL CARE, P.C.""","","New Jersey","","English","new","","Score 4/10 | apollo:67433d879abc3500017dde06","","","dental","4","http://www.linkedin.com/company/magna-dental-care-p.c.","","",""
"Summit Plaza Dental Center","(816) 525-1655","New Jersey","","English","new","","Score 4/10 | apollo:5500b4507369647a39ab0400","","","dental","4","http://www.linkedin.com/company/summit-plaza-dental-center","","",""
"Friendly Dental Center NJ","(973) 465-8885","New Jersey","","English","new","","Score 4/10 | apollo:68faf1869f6e140001baf402","","","dental","4","http://www.linkedin.com/company/friendly-dental-center-nj","","",""
"NEW CITY DENTAL CARE PA","(201) 459-1800","New Jersey","","English","new","","Score 4/10 | apollo:670ccf58bfc57e00011093e1","","","dental","4","http://www.linkedin.com/company/new-city-dental-care-pa","","",""
"Jersey City Dentistry","(201) 333-0883","New Jersey","","English","new","","Score 4/10 | apollo:66e923af14dbf3000195341c","","","dental","4","http://www.linkedin.com/company/jersey-city-dentistry","","",""
"PATERSON FAMILY DENTAL","(973) 225-9975","New Jersey","","English","new","","Score 4/10 | apollo:67274aeb0b702b0001529ed1","","","dental","4","http://www.linkedin.com/company/paterson-family-dental","","",""
"Eaton Dental Laboratory","","New Jersey","","English","new","","Score 4/10 | apollo:66d7ead6e6e0570001900734","","","dental","4","http://www.linkedin.com/company/eaton-dental-laboratory","","",""
"DENTAL PM PC","(973) 247-2580","New Jersey","","English","new","","Score 4/10 | apollo:674c33c40fde430001a2ce24","","","dental","4","http://www.linkedin.com/company/dental-pm-pc","","",""
"ALL STATE DENTAL LLC","(973) 482-3492","New Jersey","","English","new","","Score 4/10 | apollo:66d3fec4bfea4f0001cfec72","","","dental","4","http://www.linkedin.com/company/all-state-dental-llc","","",""
"Elizabeth Avenue Dental Center","","New Jersey","","English","new","","Score 4/10 | apollo:672fded4471d660001b39d66","","","dental","4","http://www.linkedin.com/company/elizabeth-avenue-dental-center","","",""
"Family & Cosmetic Dental Services","(201) 386-8600","New Jersey","","English","new","","Score 4/10 | apollo:6738d26f460edf0001a05097","","","dental","4","http://www.linkedin.com/company/family-&-cosmetic-dental-services","","",""
"OM DENTAL CARE PC","","New Jersey","","English","new","","Score 4/10 | apollo:673c132119832e0001577e2d","","","dental","4","http://www.linkedin.com/company/om-dental-care-pc","","",""
"True Dental Design","","Arizona","","English","new","","Score 8/10 | apollo:61ec78901baa0000017c1f98","","","dental","8","http://www.linkedin.com/company/true-dental-design","","","2021"
"Virtual Dental Expo™ | A Virtual Dontics® Brand | #VDX2022","","Arizona","","English","new","","Score 8/10 | apollo:5c1f73a9a3ae617c9623fb96","","","dental","8","http://www.linkedin.com/company/dental-expo-world-inc","","","2016"
"Lightning Dental Charts","(602) 266-6060","Arizona","Jeff To**r","English","new","","Score 10/10 | apollo:68523e321dbfed00019cf85e","","Co-Founder","dental","10","http://www.linkedin.com/company/lightning-dental-charts","","verified","2023"
"Cosmetic Dentist Network","(602) 900-9285","Arizona","","English","new","","Score 7/10 | apollo:55f478d4f3e5bb14df00034e","","","dental","7","http://www.linkedin.com/company/cosmetic-dentist-network","","","2006"
"""Dentistry at Westland, Carefree/Cave Creek AZ"",gilbertarizonadental.com","","Arizona","""Dentist","English","new","","Score 9/10 | apollo:54a1286469702dc84111d600","","Owner""","dental","9","Rick Ca**e","","unverified",""
"""ON BROADWAY DENTISTRY INC 4435 E. Broadway Road, Mesa AZ""","(480) 223-0255","Arizona","","English","new","","Score 8/10 | apollo:60b21b86035f59000130362c","","","dental","8","http://www.linkedin.com/company/on-broadway-dentistry-inc","","","2019"
"Arizona Dental Association","(480) 344-5777","Arizona","","English","new","","Score 7/10 | apollo:54a1355f69702d3a9c82aa00","","","dental","7","http://www.linkedin.com/company/arizona-dental-association","","","1909"
"""Endodontic Practice US, Publication & Dental Continuing Education""","(866) 579-9496","Arizona","","English","new","","Score 7/10 | apollo:5569995373696425ee526800","","","dental","7","http://www.linkedin.com/company/endodontic-practice-us","","",""
"Palm Valley Pediatric Dentistry and Orthodontics - Scottsdale","(623) 535-7873","Arizona","","English","new","","Score 7/10 | apollo:5c23ca8fa3ae610751dd03fe","","","dental","7","http://www.linkedin.com/company/palm-valley-pediatric-dentistry-orthodontics-scottsdale","","","2000"
"Smile Virtual","(480) 428-0040","Arizona","Brian Ha**s","English","new","","Score 10/10 | apollo:5da78da388b5660099398636","","Founder/CEO","dental","10","http://www.linkedin.com/company/smile-virtual","","verified","2017"
"AZ Family Dental","(623) 624-9747","Arizona","Matt Pa**r","English","new","","Score 10/10 | apollo:54a19dbd7468694012932002","","President & COO","dental","10","http://www.linkedin.com/company/az-family-dental","","verified","2012"
"Dental Support Plus Franchise","","Arizona","","English","new","","Score 8/10 | apollo:54a1350469702d2db4f0d200","","","dental","8","http://www.linkedin.com/company/dental-support-plus-franchise","","","2010"
"Sky Dental AZ","(602) 833-1560","Arizona","Clayton Co**e","English","new","","Score 9/10 | apollo:60affd48827ff700a43e4e68","","Owner","dental","9","http://www.linkedin.com/company/sky-dental-az","","unverified","2006"
"""Sleep Practice US, Publication & Dental Continuing Education""","(866) 579-9496","Arizona","","English","new","","Score 8/10 | apollo:5569daa173696425eecbaa00","","","dental","8","http://www.linkedin.com/company/sleeppracticeus","","","2014"
"Digital Dental","(480) 948-0466","Arizona","","English","new","","Score 7/10 | apollo:5592307b736964185f43be00","","","dental","7","http://www.linkedin.com/company/digitaldental","","","1971"
"Bell Road Dental Care of Phoenix","(602) 404-3483","Arizona","Reza Ja**i","English","new","","Score 9/10 | apollo:5e55a148df3fe20001eeed20","","Owner","dental","9","http://www.linkedin.com/company/bell-road-dental-care","","unverified","1985"
"""Implant Practice US, Publication & Dental Continuing Education""","(888) 610-9444","Arizona","","English","new","","Score 7/10 | apollo:55f1e1f6f3e5bb38cf001716","","","dental","7","http://www.linkedin.com/company/implant-practice-us","","","2008"
"Aesthetic Dentistry of Arrowhead","(623) 979-1515","Arizona","Greg Ce**n","English","new","","Score 9/10 | apollo:559233cd73696418b71ec700","","Owner","dental","9","http://www.linkedin.com/company/aesthetic-dentistry-of-arrowhead","","unverified","2000"
"Southwest Kids Dentistry","(520) 775-1245","Arizona","","English","new","","Score 7/10 | apollo:6321b49d9d1c830001ed55ed","","","dental","7","http://www.linkedin.com/company/southwest-kids-dentistry-pllc","","",""
"Alpers Family and Cosmetic Dentistry","(480) 998-3355","Arizona","Elaine Go**k","English","new","","Score 10/10 | apollo:65ada6fa853ca300018f241d","","Owner","dental","10","http://www.linkedin.com/company/alpers-dentistry","","verified","2018"
"Sonoran Dental Design","(480) 419-9595","Arizona","Ann Si**i","English","new","","Score 9/10 | apollo:54a13c6269702d267a79d301","","Owner","dental","9","http://www.linkedin.com/company/sonoran-dental-design","","verified","1999"
"Pediatric Dental Practice US","(866) 579-9496","Arizona","","English","new","","Score 8/10 | apollo:64a291604fc74a00d97021f8","","","dental","8","http://www.linkedin.com/company/pediatric-dental-practice-us","","","2023"
"""Orthodontic Practice US, Dental Continuing Education + Resources""","(866) 579-9496","Arizona","","English","new","","Score 7/10 | apollo:55695c0b736964254f8a1000","","","dental","7","http://www.linkedin.com/company/orthodontic-practice-us","","","2008"
"bedrockmedialllc@hotmail.com","(602) 666-6271","Arizona","","English","new","","Score 7/10 | apollo:5e579d03eedbc70001854bd8","","","dental","7","http://www.linkedin.com/company/bedrockmedialllc-hotmail-com","","",""
"Dentopia Dental","(703) 365-2635","Arizona","","English","new","","Score 7/10 | apollo:55921d5273696418bc627700","","","dental","7","http://www.linkedin.com/company/dentopia-dental","","",""
"Brookstone Dental Care","(602) 992-1639","Arizona","","English","new","","Score 7/10 | apollo:5592253773696418a5c89500","","","dental","7","http://www.linkedin.com/company/brookstone-dental-care","","",""
"Winterholler Dentistry & Dental Implant Center","(480) 933-6978","Arizona","","English","new","","Score 7/10 | apollo:5da44d7ae7e6340001c7d395","","","dental","7","http://www.linkedin.com/company/winterholler-dentistry","","","1999"
"Mountain View Family Dentistry","(480) 830-0262","Arizona","","English","new","","Score 7/10 | apollo:54a11bbe69702d7fe6c26200","","","dental","7","http://www.linkedin.com/company/mountain-view-family-dentistry","","","2003"
"Dental Design Studios","(602) 775-5656","Arizona","","English","new","","Score 7/10 | apollo:6620958750da3800076e2538","","","dental","7","http://www.linkedin.com/company/dental-design-studios-arizona","","","2006"
"AZ Veterinary Dental Specialists - 4 Locations to Serve You","(480) 941-1738","Arizona","","English","new","","Score 7/10 | apollo:56d54ae0f3e5bb263a000b40","","","dental","7","http://www.linkedin.com/company/az-veterinary-dental-specialists","","","1986"
"Center for Dental Rehabilitation","(602) 485-0505","Arizona","","English","new","","Score 7/10 | apollo:5e5822d49303fe00015a5245","","","dental","7","http://www.linkedin.com/company/center-for-dental-rehabilitation","","",""
"Tooth Gym","(480) 598-5510","Arizona","","English","new","","Score 7/10 | apollo:6610d1c176eaa00007749297","","","dental","7","http://www.linkedin.com/company/toothgym","","","2002"
"Dental Home Family Dentistry","(602) 863-3000","Arizona","Edward Fu**g","English","new","","Score 10/10 | apollo:64abd58f085f110001122fe4","","Dentist/Owner","dental","10","http://www.linkedin.com/company/dental-home-az","","verified","2018"
"AZ Dentist","(623) 979-1900","Arizona","Janne Ly**h","English","new","","Score 9/10 | apollo:68aae07fc5256f0021b26fe2","","Owner & Founder | 1st Classic Dental","dental","9","http://www.linkedin.com/company/az-dentistlinkedin","","verified","2007"
"Angel Dentistry","(602) 788-2008","Arizona","Amber An**l","English","new","","Score 9/10 | apollo:54a1b9ec74686942d383890b","","Owner","dental","9","http://www.linkedin.com/company/angel-dentistry","","verified","2004"
"Westwind Integrated Health","(602) 269-7797","Arizona","","English","new","","Score 7/10 | apollo:55f61b68f3e5bb1cf0005434","","","dental","7","http://www.linkedin.com/company/westwind-dental","","","2001"
"Desert Dental","(602) 666-6983","Arizona","","English","new","","Score 7/10 | apollo:54a1a1f37468695860b38603","","","dental","7","http://www.linkedin.com/company/desert-dental","","",""
"Biltmore Dental Center","(602) 954-8200","Arizona","Sameet Ko**r","English","new","","Score 9/10 | apollo:61416d0ae50c9800016e820f","","Owner","dental","9","http://www.linkedin.com/company/biltmore-dental-center","","unverified",""
"Mobile Dentistry of Arizona","(480) 313-3310","Arizona","","English","new","","Score 7/10 | apollo:54fca55f7369647ffc3a2e00","","","dental","7","http://www.linkedin.com/company/mobile-dentistry-of-arizona","","","2009"
"Core Dental Partners","(480) 889-9457","Arizona","","English","new","","Score 8/10 | apollo:556d97c17369641266ab5301","","","dental","8","http://www.linkedin.com/company/coredentalpartners","","","2013"
"""McAdams Dental, Inc.""","(480) 991-4727","Arizona","","English","new","","Score 8/10 | apollo:672c4ec192e5c900016c0567","","","dental","8","http://www.linkedin.com/company/mcadams-dental-inc","","","2011"
"Kidtastic Pediatric Dental and Orthodontics","(480) 359-2643","Arizona","","English","new","","Score 8/10 | apollo:54a1a41a74686940125a0c04","","","dental","8","http://www.linkedin.com/company/kidtastic-pediatric-dental-and-orthodontics","","","2012"
"Majestic Dentistry","(623) 551-6300","Arizona","Jacob Ho**y","English","new","","Score 9/10 | apollo:5e5636f118a6380001b162a0","","Business Owner","dental","9","http://www.linkedin.com/company/majestic-dentistry","","unverified","2007"
"Lebowitz Dental Associates","(602) 264-2905","Arizona","","English","new","","Score 7/10 | apollo:54a1345a69702d407f471600","","","dental","7","http://www.linkedin.com/company/lebowitz-dental-associates","","","1917"
"Scottsdales Dentist","(480) 948-1720","Arizona","","English","new","","Score 8/10 | apollo:5fc8c8ea8775690001c7302c","","","dental","8","http://www.linkedin.com/company/scottsdales-dentist","","","2015"
"Jungle Roots Children's Dentistry & Orthodontics","(480) 759-1119","Arizona","","English","new","","Score 7/10 | apollo:54fca36b7369647e73ea1b00","","","dental","7","http://www.linkedin.com/company/jungle-roots-childrens-dentistry","","",""
"Thomas Dental","(602) 956-4111","Arizona","","English","new","","Score 7/10 | apollo:55e84bd4f3e5bb7f1e00025a","","","dental","7","http://www.linkedin.com/company/thomas-dental","","",""
"""Dental Works, PC""","(480) 391-0099","Arizona","","English","new","","Score 7/10 | apollo:5c20bad0f65125678101aa96","","","dental","7","http://www.linkedin.com/company/dentalworksaz","","","1989"
"House Dental","(602) 957-4576","Arizona","","English","new","","Score 7/10 | apollo:5a9e3161a6da98d9a8d95de0","","","dental","7","http://www.linkedin.com/company/housedental","","","2000"
"Vitality Medical Aesthetics","","Florida","Stephanie Mi**y","English","new","","Score 8/10 | apollo:6519f3d982316200d00b33a9","","Private Practice Owner","medspa","8","http://www.linkedin.com/company/vitalityaesthetic","","verified","2022"
"Shino Bay Cosmetic Dermatology & Laser Institute","(954) 765-3005","Florida","Magdalena Je**h","English","new","","Score 7/10 | apollo:54fca2857369647e00510f00","","Co-Founder","medspa","7","http://www.linkedin.com/company/shino-bay-cosmetic-dermatology-plastic-surgery-&-laser-institute","","verified","2006"
"International Academy of Facial Aesthetics","(877) 759-7848","Florida","","English","new","","Score 6/10 | apollo:5a9e2510a6da98d9977a14eb","","","medspa","6","http://www.linkedin.com/company/international-academy-of-facial-aesthetics","","","2011"
"Modern Aesthetic Centers","(904) 526-7480","Florida","","English","new","","Score 6/10 | apollo:63229c3017dd120001afd22f","","","medspa","6","http://www.linkedin.com/company/modern-aesthetic-centers","","","2022"
"Affinity Med Spa","(407) 900-2727","Florida","","English","new","","Score 6/10 | apollo:5e58f14b5d07ca0001c289b6","","","medspa","6","http://www.linkedin.com/company/affinity-med-spa-and-wellness-center","","","2017"
"Jeune Aesthetics","(305) 501-0212","Florida","","English","new","","Score 6/10 | apollo:675b5aa539faf601b09bd419","","","medspa","6","http://www.linkedin.com/company/jeuneaesthetics","","","2024"
"Amaira Med Spa & Surgical","(954) 982-2841","Florida","","English","new","","Score 6/10 | apollo:61eba1f558676000016d8680","","","medspa","6","http://www.linkedin.com/company/amaira-med-spa-surgical","","","2021"
"Mariano Busso MD PA Cosmetic Dermatology","(305) 857-0144","Florida","","English","new","","Score 5/10 | apollo:55e83eb6f3e5bb1d1d0008ad","","","medspa","5","http://www.linkedin.com/company/mariano-busso-md-pa-cosmetic-dermatology","","","1994"
"ÉLAN Aesthetics","(813) 440-8743","Florida","Lindsey Cr**k","English","new","","Score 8/10 | apollo:604871452d3fa00001713542","","Co-Owner/Founder","medspa","8","http://www.linkedin.com/company/elan-aesthetics","","verified","2019"
"Luxe Med Spa Aesthetics","(407) 250-5145","Florida","","English","new","","Score 6/10 | apollo:63943e2ce4b6c70001146fa7","","","medspa","6","http://www.linkedin.com/company/luxe-med-spa-aesthetics","","","2019"
"Bodhi Med Spa","(407) 337-0719","Florida","","English","new","","Score 6/10 | apollo:61ca31f1acbc43008c457fe8","","","medspa","6","http://www.linkedin.com/company/bodhi-med-spa","","","2020"
"Aesthetics HQ","(302) 265-0052","Florida","","English","new","","Score 6/10 | apollo:674d8e85401bb900012e73a4","","","medspa","6","http://www.linkedin.com/company/aesthetics-hqpage","","","2024"
"Hydro Med Spa","(904) 567-3998","Florida","","English","new","","Score 6/10 | apollo:63d5cd43fa0ecf0001e6910e","","","medspa","6","http://www.linkedin.com/company/hydromedspa","","","2020"
"Get Refreshed","(305) 988-9504","Florida","Sugeiry Sa**z","English","new","","Score 8/10 | apollo:5f432fa424abb700013c87df","","Business Owner","medspa","8","http://www.linkedin.com/company/get-refreshed","","verified","2017"
"Skintellect Laser & Aesthetics","(813) 403-6002","Florida","Yody Ja**z","English","new","","Score 8/10 | apollo:60d8ae0d0415b900a44bff54","","Business Owner","medspa","8","http://www.linkedin.com/company/skintellect","","unverified","2016"
"Esthetic Skin Institute  Inc,esiw.com","","Florida","""Owner","English","new","","Score 7/10 | apollo:55f9f328f3e5bb71bf000a2b","","Aesthetician""","medspa","7","Ann-Marie Lo**d","","verified",""
"4Beauty Med Spa","(786) 496-9444","Florida","Camille Mo**o","English","new","","Score 7/10 | apollo:614ee5e4ee01c30001dcd14d","","Business Owner","medspa","7","http://www.linkedin.com/company/4beauty-med-spa","","unverified",""
"SOSA Medical Aesthetics","(813) 314-7943","Florida","","English","new","","Score 6/10 | apollo:63b939e91151cd00012e6676","","","medspa","6","http://www.linkedin.com/company/botaniq-health","","","2019"
"Elevate Medical Spa","(813) 765-4416","Florida","Aspen Cr**w","English","new","","Score 8/10 | apollo:61ead32000303b00dbd0cb2a","","CEO","medspa","8","http://www.linkedin.com/company/elevatetpa","","unverified","2020"
"Bloom Aesthetics","(407) 465-1995","Florida","Sarah Fn**C","English","new","","Score 7/10 | apollo:5fcb292fd89693000140f1c4","","Co-Owner","medspa","7","http://www.linkedin.com/company/lakebuenavistaaesthetics","","unverified","2003"
"Erasable Med Spa","(813) 333-9971","Florida","","English","new","","Score 6/10 | apollo:55f65bd7f3e5bb197700c6bc","","","medspa","6","http://www.linkedin.com/company/erasablemedspa","","","2014"
"Zemits Aesthetics - Equipment for Esthetic&Spa🇺🇸","(888) 999-3996","Florida","","English","new","","Score 6/10 | apollo:5e57b873e983c800010174ff","","","medspa","6","http://www.linkedin.com/company/advance-esthetic","","","2016"
"Aesthetic & Medical Technologies","(813) 291-4911","Florida","","English","new","","Score 6/10 | apollo:5e562231dbd34700017768c2","","","medspa","6","http://www.linkedin.com/company/aesthetic-medical-technologies","","","2017"
"Facial Mania Med Spa Orlando","","Florida","","English","new","","Score 6/10 | apollo:67b45f01dfa169001752443f","","","medspa","6","http://www.linkedin.com/company/facial-mania-med-spa-orlando","","","2024"
"Viso Juvé","(813) 374-1574","Florida","","English","new","","Score 6/10 | apollo:64fc2c37fc8b160001d4b0f5","","","medspa","6","http://www.linkedin.com/company/viso-juv%c3%a9","","","2021"
"Ayana Dermatology & Aesthetics","(954) 727-5700","Florida","Adir Mi**i","English","new","","Score 8/10 | apollo:5fc0239e54b11a008c03a192","","Chief Executive Officer","medspa","8","http://www.linkedin.com/company/ayana-dermatology","","verified","2020"
"New U Med Spa","(407) 853-2676","Florida","New Spa","English","new","","Score 7/10 | apollo:5fcb9d0edda6200001815a7d","","Chief Executive Officer","medspa","7","http://www.linkedin.com/company/new-u-med-spa","","unverified",""
"The Botox Lady Medical Spa","(954) 829-5557","Florida","","English","new","","Score 6/10 | apollo:621708ef966e4a000125dd39","","","medspa","6","http://www.linkedin.com/company/thebotoxlady","","","2017"
"BevelUp Aesthetics & Wellness","(952) 887-5400","Florida","","English","new","","Score 6/10 | apollo:5edb882c04946e0001acbe65","","","medspa","6","http://www.linkedin.com/company/bevel-up","","","2021"
"Weight & Body Solutions","(813) 886-4395","Florida","","English","new","","Score 5/10 | apollo:55e8c44cf3e5bb4caf000141","","","medspa","5","http://www.linkedin.com/company/weight-and-body-solutions","","","2008"
"Med Aesthetics Miami","(305) 356-7402","Florida","","English","new","","Score 6/10 | apollo:5fcad0e48207c500019a5c8e","","","medspa","6","http://www.linkedin.com/company/medaesthetics-miami","","","2010"
"Baumann Cosmetic & Research Institute","(305) 532-5552","Florida","","English","new","","Score 5/10 | apollo:54a1346969702d2db4ee8c00","","","medspa","5","http://www.linkedin.com/company/baumann-cosmetic-&-research-institute","","",""
"Arviv Medical Aesthetics","(813) 855-0111","Florida","Tali Ar**v","English","new","","Score 7/10 | apollo:5ed9d2197c5112000114abe6","","Business Owner","medspa","7","http://www.linkedin.com/company/arviv-medical-aesthetics","","verified",""
"Balance MedSpa","(407) 481-2843","Florida","","English","new","","Score 5/10 | apollo:64a7a368899e200001708ab2","","","medspa","5","http://www.linkedin.com/company/balance-medspa","","",""
"Miami Laser Aesthetics","(305) 610-8284","Florida","Maya Sa**z","English","new","","Score 8/10 | apollo:54fca23d7369647f7dd91300","","Owner","medspa","8","http://www.linkedin.com/company/miami-laser-aesthetics","","unverified","2013"
"Brickell Cosmetic Center","(305) 741-4904","Florida","","English","new","","Score 6/10 | apollo:54fca42a7369647e07032000","","","medspa","6","http://www.linkedin.com/company/brickell-cosmetic-center","","","2010"
"Coberly Plastic Surgery & Med Spa","(813) 448-6550","Florida","","English","new","","Score 6/10 | apollo:55eae940f3e5bb03e8002f3a","","","medspa","6","http://www.linkedin.com/company/coberly-plastic-surgery-&-med-spa","","","2010"
"""Singh Medical - Health, Wellness, Aesthetics""","(954) 406-2887","Florida","","English","new","","Score 6/10 | apollo:6388e3faf54e0900a36f92ef","","","medspa","6","http://www.linkedin.com/company/singh-medical-weston-health-wellness-medspa","","","2022"
"Miami Skin Spa - Brickell's Premier Medical Spa","(305) 557-1615","Florida","","English","new","","Score 6/10 | apollo:604a0c9896ecd900012c2e7e","","","medspa","6","http://www.linkedin.com/company/miami-skin-spa","","","2020"
"Rafa Lauretto Medspa","(713) 777-1226","Florida","","English","new","","Score 6/10 | apollo:5ed7d5accc80290001c193f7","","","medspa","6","http://www.linkedin.com/company/rafa-lauretto-med-spa","","","2015"
"""Platinum Aesthetics Mobile MedSpa, Inc.""","(954) 300-5371","Florida","Julie El**e","English","new","","Score 8/10 | apollo:556dd75b736964123d40a201","","President/Owner","medspa","8","http://www.linkedin.com/company/platinum-aesthetics-mobile-medspa-inc-","","unverified","2013"
"SLAE Aesthetics & Wellness","(813) 418-0861","Florida","","English","new","","Score 6/10 | apollo:670107394dfd09000102e484","","","medspa","6","http://www.linkedin.com/company/slae-aesthetics-wellness","","","2022"
"Elite Facial Aesthetics Training","(513) 533-1200","Florida","","English","new","","Score 6/10 | apollo:5569a32573696425db2a6a00","","","medspa","6","http://www.linkedin.com/company/elite-facial-aesthetics-training","","","2014"
"Striving 4 The Better | Med Spa Marketing Agency","(321) 356-2103","Florida","","English","new","","Score 6/10 | apollo:63d5c1819e54390001060f12","","","medspa","6","http://www.linkedin.com/company/striving-4-the-better","","","2021"
"Life Tree Women Care","(904) 379-2540","Florida","Derek Ne**l","English","new","","Score 8/10 | apollo:62eb53059fad0f000165d323","","Chief Executive Officer","medspa","8","http://www.linkedin.com/company/life-tree-women-care","","verified","2021"
"Coastal Cosmetic Center PA","(904) 332-6774","Florida","","English","new","","Score 5/10 | apollo:5ed177d820730f0001f64f86","","","medspa","5","http://www.linkedin.com/company/coastal-cosmetic-center","","",""
"Dermagym - Medical Spa","(305) 707-4948","Florida","","English","new","","Score 6/10 | apollo:5e56b45d1b2f220001b161bc","","","medspa","6","http://www.linkedin.com/company/dermagym","","","2015"
"Windermere Medical Spa & Laser Institute","(321) 445-1115","Florida","","English","new","","Score 6/10 | apollo:5e55c47d99006b0001e6e3cd","","","medspa","6","http://www.linkedin.com/company/windermeremedicalspa","","","2017"
